Country,DateTime,CarbonIntensity,UpdatedAt,CreatedAt,EmissionFactorType,IsEstimated,EstimationMethod
AU-WA,2023-06-20T09:00:00.000Z,536,2023-06-20T12:59:59.535Z,2023-06-17T09:57:39.820Z,lifecycle,False,
AU-WA,2023-06-20T10:00:00.000Z,544,2023-06-20T12:59:59.535Z,2023-06-17T10:58:42.840Z,lifecycle,False,
AU-WA,2023-06-20T11:00:00.000Z,544,2023-06-20T13:00:35.129Z,2023-06-17T11:57:42.203Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-WA,2023-06-20T12:00:00.000Z,547,2023-06-20T12:59:59.535Z,2023-06-17T12:56:11.098Z,lifecycle,True,TIME_SLICER_AVERAGE
AU-WA,2023-06-20T13:00:00.000Z,551,2023-06-20T13:00:35.129Z,2023-06-17T13:53:32.858Z,lifecycle,True,TIME_SLICER_AVERAGE
BE,2023-06-19T14:00:00.000Z,128,2023-06-20T05:53:02.367Z,2023-06-16T14:57:20.237Z,lifecycle,False,
BE,2023-06-19T15:00:00.000Z,149,2023-06-20T09:56:01.132Z,2023-06-16T15:56:16.657Z,lifecycle,False,
BE,2023-06-19T16:00:00.000Z,165,2023-06-20T09:56:24.113Z,2023-06-16T16:53:54.812Z,lifecycle,False,
BE,2023-06-19T17:00:00.000Z,180,2023-06-20T09:56:24.113Z,2023-06-16T17:55:39.976Z,lifecycle,False,
BE,2023-06-19T18:00:00.000Z,189,2023-06-20T09:56:17.527Z,2023-06-16T18:53:16.775Z,lifecycle,False,
BE,2023-06-19T19:00:00.000Z,179,2023-06-20T10:53:27.927Z,2023-06-16T19:58:34.694Z,lifecycle,False,
BE,2023-06-19T20:00:00.000Z,182,2023-06-20T10:53:27.927Z,2023-06-16T20:58:13.837Z,lifecycle,False,
BE,2023-06-19T21:00:00.000Z,181,2023-06-20T09:56:17.527Z,2023-06-16T21:53:27.933Z,lifecycle,False,
BE,2023-06-19T22:00:00.000Z,182,2023-06-20T09:56:17.527Z,2023-06-16T22:53:42.522Z,lifecycle,False,
BE,2023-06-19T23:00:00.000Z,188,2023-06-20T09:56:17.527Z,2023-06-16T23:57:19.971Z,lifecycle,False,
BE,2023-06-20T00:00:00.000Z,193,2023-06-20T09:56:17.527Z,2023-06-17T00:53:21.227Z,lifecycle,False,
BE,2023-06-20T01:00:00.000Z,188,2023-06-20T09:56:01.132Z,2023-06-17T02:02:00.065Z,lifecycle,False,
